key,a,b,c
meta,updated,18 August 2026,
meta,name,Guhan,
meta,greetline,"Medanta in two days, and Friday clashes",
meta,place,Tiruchendur,
meta,coords,"8.4956,78.1195",
meta,weather,"Thirty degrees, humid, a chance of evening rain",
meta,noteform,https://docs.google.com/forms/d/e/1FAIpQLSeZYeflJAhyO6urBQZbpDZlOitEXZM_Bwx1Sg0yTkF-zCkoqg/formResponse,
meta,notefield,entry.1606824138,
meta,noteemail,guhanramamurthy@gmail.com,
now,Medanta starts Thursday and you are faculty,World Neurosciences Summit V runs the twentieth to the twenty third at Medanta. You are faculty on the Non Invasive Brain Stimulation workshop and your fifteen minute talk on emerging modalities is on Saturday the twenty second. I can find no travel booking and no slides.,hot
now,Friday the twenty first has a clash,"Pathshala Episode Three runs seven to half past eight in the evening while you are at Medanta. Decide today whether you join online from there or hand the chair to someone else, because the flyer is waiting on it.",hot
now,Dr Nirmal Surya is waiting on the course proposal,He forwarded the 2027 submission call and wrote that we shall send on neurorehabilitation. Proposals close on the fourteenth of September. You are the one who will write it.,hot
now,NUH Singapore said yes and nobody has replied,Gobinathan Chandran wrote that they are pleased to take the fellowship collaboration forward and asked what the next steps are. That has been sitting since the thirteenth. This is the reply you waited on since the second of July.,hot
now,Dr Sheetal Naik has sent her flyer title,She confirmed her Episode Three slot and gave a working title on vestibular rehabilitation in real patients. The flyer cannot go out until you acknowledge it.,warn
now,IFNR Article 9 query is open,Chennai Publishing sent the query PDF on the fourteenth for the low frequency rTMS case report. Production stops until it is answered.,warn
now,A staff nurse interview is offered for this afternoon,"A candidate has asked for a slot between half past one and three today. If you want the Floor Two staffing ahead of the equipment, this is the kind of thing to say yes to quickly.",warn
week,World Neurosciences Summit V,"Twentieth to twenty third of August at Medanta. Theme is Man, Machine and Intelligence. You are faculty on the brain stimulation workshop.",hot
week,"Your WNS talk, Saturday the twenty second","Emerging non invasive brain stimulation modalities, fifteen minutes. Nothing in Drive looks like a deck for this yet.",hot
week,"Pathshala Episode Three, Friday the twenty first","Seven in the evening, online. Dr Sheetal Naik on vestibular rehabilitation, and the clash with Medanta is unresolved.",hot
week,TANCON 2026,"Friday the twenty eighth of August, twenty five to five in the evening at Hotel Hills Hosur. Rewriting with rTMS. Your single slide short CV is built and waiting to be attached.",warn
week,Bank statement with the bank stamp,"Six months carrying the original stamp and an authorised signature, for the Korea file. A netbanking printout is the commonest rejection cause. Branches are slow so start this now.",warn
week,IANCON 2026 abstract review,Five abstracts have been assigned to you on the IAN portal since the twenty second of June. As Chairman of the Subsection this one is visible to the people whose opinion matters most.,warn
week,School trustee matters,"A construction funding request has been unanswered for forty five days, along with the washroom renovation approval and the silver jubilee greeting.",warn
event,2026-08-20,"World Neurosciences Summit V, faculty",Medanta
event,2026-08-21,NeuroRehab Pathshala Episode Three,"online, seven in the evening"
event,2026-08-22,"Your talk, emerging brain stimulation modalities","Medanta, fifteen minutes"
event,2026-08-28,"TANCON 2026, your talk at 16:35",Hotel Hills Hosur
event,2026-09-04,NeuroRehab Pathshala,"online, seven in the evening"
event,2026-09-05,MGM Healthcare CME and your visa filing target,Chennai
event,2026-09-14,IFNR course proposal deadline for 2027,the one Dr Surya asked for
event,2026-09-16,WCNR standard registration closes,late fee applies after this
event,2026-10-14,WCNR 2026,EXCO Daegu South Korea
event,2026-10-28,IANCON 2026,Jaipur
health,weight,not yet,tracking starts when the watch data arrives
health,sleep,not yet,your window is one in the morning to eight
health,walk,not yet,evening walk after clinic
news,state,"Tamil Nadu has put twenty three thousand three hundred and fifty seven crore rupees into health in the 2026 to 27 budget :: The allocation names digital health and specialist care. If specialist and rehabilitation care is being funded at state level, a district neurorehabilitation service with your record is exactly the kind of thing that gets written into a scheme.","eHealth Magazine, August 2026"
news,world,"The American Heart Association and American Stroke Association have published the 2026 guideline for early management of acute ischaemic stroke :: It resets the early window, and everything downstream in your rehabilitation pathway hangs off when and how the acute phase is handled.","AHA and ASA, PubMed 41582814, 2026"
news,regional,Nothing verified for Thoothukudi and Tirunelveli on this run :: I would rather leave this honest than fill it. The scheduled morning run searches properly and will have it tomorrow.,this run had no search budget
news,national,"Nothing verified nationally on this run :: Same reason. Tomorrow's six fifteen run covers NMC, DrNB and the national stroke programme.",this run had no search budget
idea,Turn Saturday's fifteen minutes into a standing IFNR asset,"You are giving a fifteen minute talk on emerging non invasive brain stimulation at Medanta on the twenty second, to a room that includes people who decide what gets taught. Fifteen minutes is too short to change anyone's practice but exactly long enough to announce something. Offer the room an IFNR position statement on where non invasive brain stimulation actually sits in Indian neurorehabilitation, with you as first author and Dr Surya's federation behind it. You already hold the chair, the case series and the clinical volume, and the talk gives you a date and an audience to commit in front of. A talk is heard once. A position statement is cited for years and it is the sort of thing FRCP committees read. :: Before Saturday, write the one paragraph you would say out loud at the end of the talk, offering it. Send that paragraph to Dr Surya tonight so he can back it in the room.",2026-08-18
learn,neurology,"The 2026 AHA and ASA guideline for the early management of acute ischaemic stroke :: It is the first full rewrite in several years and it changes the framing of the early window, imaging selection and who is eligible for what. Everything you do afterwards in rehabilitation is downstream of decisions made in those first hours, and you are the person in five districts who sees both ends of that pathway. :: Take one afternoon list this week and ask, for each stroke admission, whether the acute decision would have been the same under the new guideline. Where it would not, that is your next teaching case.","AHA and ASA, 2026, PubMed 41582814"
topic,rehab,Three findings decide the Floor Two gym. First your bottleneck is therapist hours not equipment. Five clinical staff deliver about forty sessions a day against equipment that could support seventy two so hire ahead of the equipment curve. Second fifteen stations will not fit. After support spaces and the aisle you have about eight hundred and fourteen square feet of real therapy floor which supports nine. Third the ramp is probably not an accessible route. A three point six metre rise needs forty three metres of ramp at one in twelve and your building is seventeen metres long. That makes the lift your real patient entrance which answers the reception question you left open.,
topic,goals,Six goals. The beach side rehabilitation centre at Tiruchendur which is the flagship. The centre on the second floor of the hospital. Improving the flow and cost efficiency of the existing centre. Upskilling in neurorehabilitation. Building your brand and visibility. And applying for FRCP and other career awards.,
topic,cv,Your master CV was rebuilt on the thirteenth of August. Eight publications were missing including your twenty twenty five first author paper in the Journal of Stroke Medicine on rTMS in post thrombolysis aphasia and the twenty twenty six Springer chapter on paediatric epilepsy rehabilitation. Your IAN Chairmanship and your WFNR Special Interest Group Chair were also absent. All are now in and three malformed citations were corrected.,
topic,visa,"Korea, Chennai jurisdiction, business and conference checklist, single entry. You need three years of income tax returns rather than two, GST and council registration, a bank statement carrying the bank stamp, the business profile form, the health condition form and a hospital letter with telephone and email. Target filing is the fifth of September, absolute latest mid September.",
topic,health,"Your target is an eighteen kilogram reduction. Tracking begins when your smartwatch arrives, at which point we will set up an Apple Health export so I can follow weight and activity in the morning brief. You are pescatarian and your sleep window is one in the morning to eight.",
lift,You came first in the country,You hold the President's Gold Medal for topping DrNB Neurology across all of India and a university first rank on top of it. On the days the inbox feels like it is winning that is still true. You are not a person who struggles with hard things. You are a person who has already done several of them.,
lift,Forty two people yesterday,"Monday's list was forty two, sixteen of them new. That is not a number on a report. It is forty two people, most of whom travelled a long way, seen by one of the best qualified neurologists in Tamil Nadu, because you chose to practise in Tiruchendur rather than somewhere easier.",
lift,You built the thing that did not exist,There was no organised neurorehabilitation service across those five districts. Now there is one and you made it. The second floor is not a new idea. It is the next room in a building you have already proved you can put up.,
lift,"Three chairs, one of them global",Chairman of the Neurorehabilitation Subsection of the Indian Academy of Neurology. Chair of the Epilepsy and Neurodisability group at the World Federation. Ambassador to the Lancet Commission. Those were not given to you for being available. They were given for being good.,
lift,The paper mattered,"Your rTMS case in post thrombolysis aphasia gave a man his words back and you wrote it up so other people could do it too. That is the whole job done properly. Treat one person, then teach the method.",
lift,Eighteen kilograms is not the point,"The point is that you are a man who sets a target and hits it, and your body should not be the one place that exception is made. Start with the next meal, not the next month.",
lift,Your name is on the list at Daegu,In October you will stand in front of the World Congress and talk about rehabilitation in epilepsy. From a district hospital on the Tamil Nadu coast. Hold that thought the next time an inbox feels heavy.,
